"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/26 6:44:01 PM MDT","2","4","4","1","1","1","0","0","3","4","5","2","4","1","1","3","2","5","3","3","3","","0","0","0","0","1","5","7","1","1","3","44102"
"2018/04/26 6:44:11 PM MDT","2","4","4","2","1","0","0","0","3","2","5","3","5","5","3","2","1","2","2","3","3","","0","0","0","0","1","4","6","1","2","2","29210"
"2018/04/26 6:46:30 PM MDT","2","4","4","4","1","1","0","0","4","4","2","5","4","3","4","1","2","2","2","2","2","","0","0","0","0","1","4","7","1","3","3","11756"
"2018/04/26 6:51:11 PM MDT","2","4","4","4","1","1","0","1","4","4","4","4","2","4","2","2","1","3","3","4","2","","0","0","0","0","1","5","7","1","3","3","90065"
"2018/04/26 6:54:37 PM MDT","2","4","4","4","1","1","0","0","1","3","3","2","5","4","4","1","1","1","1","2","1","","0","0","0","0","1","4","7","1","2","3","22041"
"2018/04/26 7:00:42 PM MDT","2","4","4","2","1","1","0","0","2","3","1","3","3","4","3","2","4","4","2","4","4","Recommended by a friend","0","0","0","0","1","4","7","1","3","2","45209"
"2018/04/26 7:04:32 PM MDT","2","4","3","2","1","1","1","1","3","2","3","4","3","2","4","3","2","2","3","3","2","","0","0","0","0","1","5","3","1","3","2","62257"
"2018/04/26 7:05:37 PM MDT","2","4","4","4","1","1","0","1","1","1","5","5","5","5","4","1","1","2","1","3","1","","0","0","0","0","1","4","7","1","2","2","-1"
"2018/04/26 7:07:55 PM MDT","2","3","2","2","1","0","1","1","4","2","1","1","1","1","1","2","2","2","2","1","1","","1","0","0","0","0","6","4","1","1","-1","47201"
"2018/04/26 7:15:30 PM MDT","2","2","-1","3","1","1","0","0","3","1","3","3","4","3","4","2","1","1","2","2","2","","0","1","0","0","0","5","7","1","3","3","95618"
"2018/04/26 7:16:05 PM MDT","2","4","4","3","1","1","0","0","5","1","3","1","5","5","5","1","1","1","1","1","1","","0","0","0","0","1","5","7","1","1","3","31008"
"2018/04/26 7:16:50 PM MDT","2","4","3","3","1","1","0","1","4","3","2","2","4","4","2","1","3","4","1","3","3","","0","0","0","0","1","4","7","1","2","3","44107"
"2018/04/26 7:17:50 PM MDT","2","4","3","3","1","1","1","1","4","1","3","5","2","5","5","1","1","1","1","5","1","","0","0","0","0","1","4","6","2","2","2","19335"
"2018/04/26 7:19:38 PM MDT","2","4","4","2","1","1","0","1","4","3","3","5","3","4","3","1","1","3","1","3","2","","0","0","0","0","1","5","7","1","3","4","-1"
"2018/04/26 7:22:30 PM MDT","2","2","1","0","0","0","0","0","1","1","4","2","2","2","2","2","2","2","2","2","2","Adventure themes","0","0","0","0","1","7","7","2","2","3","91942"
"2018/04/26 7:24:23 PM MDT","2","3","3","0","1","1","0","1","4","2","3","3","4","3","2","1","2","2","1","2","1","","0","1","0","0","0","5","7","1","2","3","33811"
"2018/04/26 7:27:04 PM MDT","2","4","4","3","1","1","1","1","4","3","3","-1","-1","4","2","1","1","4","2","4","4","","0","0","0","0","1","4","7","1","2","3","54701"
"2018/04/26 7:29:26 PM MDT","2","4","4","2","1","1","1","0","1","1","2","5","4","5","4","4","2","2","4","4","1","","0","0","0","0","1","4","7","1","2","2","90640"
"2018/04/26 7:32:15 PM MDT","2","4","4","1","1","1","1","1","1","3","2","5","2","4","5","2","1","5","4","4","1","","0","0","0","0","1","4","7","1","2","3","90713"
"2018/04/26 7:33:15 PM MDT","2","4","4","2","1","1","0","1","1","3","4","5","5","5","1","3","2","2","1","4","4","Literally if I like the genre and the cover. ","0","0","0","0","1","4","7","1","2","3","71291"
"2018/04/26 7:39:58 PM MDT","2","4","4","2","1","1","0","1","6","2","4","1","3","3","3","4","1","4","1","4","1","","0","0","0","0","1","4","7","1","2","3","60174"
"2018/04/26 7:41:24 PM MDT","2","4","4","2","1","1","0","0","4","2","3","4","1","4","4","2","3","3","2","3","3","","0","0","0","0","1","5","7","1","2","4","22015"
"2018/04/26 7:42:36 PM MDT","2","4","4","2","1","1","0","1","3","3","2","1","2","1","1","3","2","3","2","3","2","","0","0","0","0","1","4","6","1","2","3","-1"
"2018/04/26 7:44:41 PM MDT","2","4","4","4","1","1","0","1","5","3","3","5","3","5","5","2","2","4","1","4","2","","0","0","0","0","1","4","7","1","2","-1","95610"
"2018/04/26 7:45:09 PM MDT","2","4","4","3","1","1","1","1","2","3","3","2","4","4","2","2","2","3","3","3","3","","0","0","0","0","1","4","7","1","2","3","54935"
"2018/04/26 7:45:20 PM MDT","2","4","3","3","1","1","0","0","6","4","4","5","3","3","3","3","1","2","2","3","4","","0","1","0","0","0","5","8","1","2","3","46208"
"2018/04/26 7:45:23 PM MDT","2","4","4","3","1","1","0","1","7","3","3","4","4","4","2","3","2","5","3","5","5","","0","0","0","0","1","4","7","1","1","2","14850"
"2018/04/26 7:49:34 PM MDT","2","4","4","4","1","1","0","1","4","3","2","1","3","3","-1","1","1","3","1","4","3","","0","0","0","0","1","4","7","1","3","3","11963"
"2018/04/26 8:06:51 PM MDT","2","4","3","2","1","1","1","1","4","2","1","3","3","3","2","2","2","3","1","3","1","","0","0","0","0","1","5","7","1","3","5","02871"
"2018/04/26 8:13:14 PM MDT","2","4","4","3","1","1","1","1","4","3","2","4","3","3","2","2","2","4","3","3","3","","0","0","0","0","1","5","7","1","2","3","35242"
"2018/04/26 8:23:31 PM MDT","2","4","4","4","1","1","1","1","3","4","3","3","4","3","3","1","2","1","1","2","1","","0","0","0","0","1","4","7","1","2","2","47802"
"2018/04/26 8:25:59 PM MDT","2","3","2","0","1","0","0","1","2","3","2","2","3","2","2","2","1","3","3","2","2","","0","0","0","1","0","5","7","1","1","-1","-1"
"2018/04/26 8:36:47 PM MDT","2","4","4","2","1","1","0","0","3","2","3","3","3","3","4","2","2","2","2","3","3","","0","0","0","0","1","5","7","1","2","3","92610"
"2018/04/26 8:44:49 PM MDT","2","4","4","2","1","1","0","0","3","3","3","4","5","4","4","3","2","3","2","3","2","The cover art, whether the book is written in 1st or 3rd person, summary, unique plot/characters/world building","0","0","0","0","1","5","7","1","1","3","46219"
"2018/04/26 8:45:50 PM MDT","2","3","4","3","1","1","1","0","5","1","3","3","3","4","4","4","4","4","3","5","4","","0","0","0","0","1","4","7","2","2","3","92227"
"2018/04/26 8:45:52 PM MDT","2","4","3","2","1","1","0","1","1","3","3","2","4","5","2","3","2","3","2","3","2","","0","0","0","0","1","5","7","1","3","4","-1"
"2018/04/26 8:56:02 PM MDT","2","4","4","4","1","1","1","0","2","2","2","2","-1","2","2","2","2","2","2","3","3","Plot description on jacket sounds interesting","0","0","0","0","1","5","7","1","2","3","06403"
"2018/04/26 9:04:15 PM MDT","2","4","4","1","1","1","0","1","3","3","4","5","3","4","5","5","2","3","3","3","3","","0","0","0","0","1","4","7","1","1","3","-1"
"2018/04/26 9:15:53 PM MDT","2","4","4","3","1","1","1","0","1","2","3","4","3","2","1","2","3","4","1","4","3","","0","0","0","0","1","4","7","1","1","2","60305"
